name distance moving_time start_date location_country average_heartrate average_speed 
南航田径场夜跑 1.56 16:46 2019-08-07 19:12:00 江苏南京 148 10-41
南航田径场夜跑 1.96 23:08 2019-08-11 20:04:00 江苏南京 151 11-45
南航田径场夜跑 1.59 16:44 2019-08-12 19:22:00 江苏南京 141 10-26
南航田径场夜跑 1.38 15:00 2019-08-13 19:37:00 江苏南京 154 10-48
南航田径场夜跑 2.08 17:05 2019-08-15 19:48:00 江苏南京 154 08-12
南航田径场夜跑 0.90 09:41 2019-08-18 20:03:00 江苏南京 148 10-42
南航田径场夜跑 1.48 16:31 2019-08-20 19:52:00 江苏南京 148 11-08
南航健身房 2.01 18:35 2019-08-23 16:34:00 江苏南京 156 09-14
南航田径场夜跑 0.88 08:39 2019-08-24 20:08:00 江苏南京 140 09-47
南航健身房 1.38 12:10 2019-08-28 20:50:00 江苏南京 167 08-45
赣榆新城夜跑 10.47 48:17 2019-08-30 20:13:00 江苏连云港 null 04-36
南航健身房 2.04 20:50 2019-09-07 15:26:00 江苏南京 161 10-11
南航健身房 1.72 15:15 2019-09-10 15:55:00 江苏南京 172 08-49
南航田径场夜跑 0.94 07:11 2019-09-15 19:46:00 江苏南京 148 07-35
南航健身房 1.35 12:06 2019-09-23 15:35:00 江苏南京 164 08-56
南航田径场夜跑 0.61 07:10 2019-09-28 19:45:00 江苏南京 156 11-40
南航健身房 1.59 15:21 2019-09-30 15:36:00 江苏南京 156 09-38
南航田径场夜跑 1.05 08:35 2019-10-02 19:47:00 江苏南京 96 08-06
南航健身房 2.54 25:40 2019-10-07 15:29:00 江苏南京 154 10-05
南航健身房 2.66 26:39 2019-10-16 15:35:00 江苏南京 153 09-59
南航健身房 2.02 29:42 2019-10-20 14:57:00 江苏南京 132 14-41
南航健身房 2.42 23:52 2019-10-22 15:14:00 江苏南京 149 09-50
南航健身房 2.27 20:27 2019-10-24 16:26:00 江苏南京 165 08-58
南航健身房 2.43 25:40 2019-10-26 14:16:00 江苏南京 145 10-31
南航健身房 2.58 25:40 2019-10-28 14:06:00 江苏南京 161 09-56
南航健身房 2.81 30:33 2019-10-29 20:00:00 江苏南京 154 10-51
南航健身房 1.79 26:45 2019-11-03 15:06:00 江苏南京 139 14-51
南航健身房 2.50 27:02 2019-11-04 15:54:00 江苏南京 157 10-48
南航健身房 1.77 21:05 2019-11-06 15:53:00 江苏南京 148 11-54
南航健身房 2.00 24:35 2019-11-10 10:29:00 江苏南京 141 12-16
南航健身房 2.00 23:25 2019-11-11 20:54:00 江苏南京 142 11-41
南航健身房 2.96 46:46 2019-11-13 15:42:00 江苏南京 138 15-46
南航健身房 1.93 20:31 2019-11-18 14:39:00 江苏南京 154 11-37
南航健身房 2.36 29:34 2019-11-19 15:48:00 江苏南京 148 12-30
南航健身房 2.26 25:33 2019-11-20 15:41:00 江苏南京 152 11-16
南航健身房 2.37 25:08 2019-11-25 14:47:00 江苏南京 152 10-35
南航健身房 1.88 23:31 2019-11-29 15:44:00 江苏南京 145 12-30
南航健身房 1.79 20:22 2019-12-01 15:34:00 江苏南京 136 11-21
南航健身房 2.31 22:47 2019-12-03 15:12:00 江苏南京 150 09-49
南航健身房 3.00 25:22 2019-12-06 15:21:00 江苏南京 151 08-27
南航健身房 3.55 35:32 2019-12-11 16:08:00 江苏南京 158 09-58
南航健身房 3.01 34:25 2019-12-17 20:02:00 江苏南京 153 11-25
南航健身房 3.42 46:32 2019-12-19 16:06:00 江苏南京 131 13-36
南航健身房 1.76 18:24 2019-12-25 15:16:00 江苏南京 147 10-25
南航健身房 2.00 23:47 2019-12-27 16:06:00 江苏南京 138 11-53
南航健身房 2.72 27:19 2019-12-29 15:07:00 江苏南京 152 10-01
南航健身房 3.61 49:44 2020-01-03 17:09:00 江苏南京 143 13-44
南航健身房 2.23 25:59 2020-01-05 14:18:00 江苏南京 137 11-37
南航健身房 3.01 35:06 2020-01-08 16:12:00 江苏南京 146 11-39
南航健身房 2.92 34:26 2020-01-11 16:53:00 江苏南京 149 11-46
