DT,distance(Km),heart,pace,start_lat,start_lng
2020-04-13 15:00:00,3.73,120,9:16,,
2020-04-15 15:26:00,6.07,120,8:51,,
2020-04-16 15:58:00,1.32,120,8:12,,
2020-04-17 16:47:00,3.36,120,9:58,,
2020-04-21 16:22:00,3.28,120,9:31,,
2020-04-22 15:32:00,4.31,120,8:10,,
2020-05-01 19:17:00,2.83,120,9:09,,
2020-05-02 17:45:00,3.58,120,8:38,,
2020-05-03 17:17:00,1.80,120,9:19,,
2020-05-07 15:51:00,2.83,120,9:42,,
2020-05-09 16:43:00,3.30,120,7:55,,
2020-05-10 17:25:00,2.97,120,9:12,,
2020-05-12 17:54:00,3.50,120,9:15,,
2020-05-14 16:50:00,2.39,120,9:44,,
2020-06-03 19:32:00,1.89,120,13:34,,
2020-06-07 15:30:00,1.64,120,10:18,,
2020-06-08 19:41:00,1.56,120,12:07,,
2020-06-13 15:09:00,1.49,120,11:36,,
2020-06-14 15:39:00,1.70,120,8:18,,
2020-06-15 20:22:00,1.53,120,22:47,,
2020-06-21 15:23:00,1.75,120,13:31,,
2020-06-22 20:18:00,2.52,120,6:57,,
2020-06-24 20:46:00,1.92,120,9:12,,
2020-06-29 19:32:00,1.33,120,11:38,,
2020-07-04 19:25:00,2.14,120,11:22,,
2020-07-06 20:26:00,2.00,120,9:10,,
2020-07-11 19:04:00,1.71,120,18:25,,
2020-07-12 14:54:00,1.25,120,14:00,,
2020-07-14 19:56:00,2.05,120,10:41,,
2020-07-22 20:07:00,2.29,120,13:54,,
2020-07-24 20:14:00,0.55,120,9:27,,
2020-08-02 19:58:00,3.00,120,9:28,,
2020-08-06 21:06:00,0.94,120,13:51,,
2020-08-09 15:23:00,1.30,120,11:00,,
2020-08-15 15:43:00,0.94,120,15:49,,
2020-08-16 07:23:00,1.39,120,15:31,,
2020-08-23 20:13:00,1.59,120,16:29,,
2020-08-28 19:51:00,2.58,120,15:07,,
2020-08-30 14:39:00,1.16,120,13:52,,
2020-09-01 19:38:00,1.89,120,10:39,,
2020-09-03 20:11:00,2.00,120,12:36,,
2020-09-08 20:27:00,1.41,120,10:04,,
2020-09-12 19:47:00,0.58,120,8:32,,
2020-09-15 20:37:00,1.97,120,7:59,,
2020-09-18 19:12:00,2.03,120,9:41,,
2020-09-19 21:28:00,1.71,120,7:38,,
2020-10-06 14:56:00,0.88,120,11:50,,
2020-11-02 01:16:07,0.00,120,44:27,31.755398,116.500908
2020-11-03 19:34:30,5.90,120,8:19,31.753162,116.500526
2020-11-05 19:24:12,5.42,120,8:40,31.755281,116.500082
2020-11-07 19:08:41,5.55,120,9:06,31.754205,116.500259
